Filename,URL Count
Agentic Metaverse for Global Creatives.md,1
Agentic Mycelia.md,1
Agents.md,6
AI Adoption.md,15
AI Companies.md,4
Ai in Games.md,8
AI Risks.md,1
AI Video.md,83
Algorithmic Bias and Variance.md,23
AnimateDiff.md,1
Anthropic Claude.md,5
Apple.md,4
Artificial Intelligence.md,3
artificial superintelligence.md,6
Automated Podcast Project.md,0
Base models.md,1
Bitcoin As Money.md,23
Bitcoin ETF.md,0
Bitcoin Mining and Energy.md,51
Bitcoin Technical Overview.md,64
Bitcoin Value Proposition.md,24
Bitcoin.md,203
Blender.md,0
Blockchain.md,14
BTC Layer 3.md,35
Calculating Empires.md,5
California AI bill.md,0
Cashu.md,6
ChatGPT.md,64
Client side DCO.md,1
Coding support.md,36
collaborative.md,0
Comfy UI for Fashion and Brands.md,19
ComfyUI.md,122
Comparison of GPT4 and Gemini Ultra.md,0
Comparison of SDXL and Midjourney v6.md,1
Competition in AI.md,1
Conspiracies.md,9
contents.md,0
Controlnet and similar.md,3
Convergence.md,1
Courses and Training.md,27
Cyber Security and Military.md,4
cypherpunk.md,2
Death of the Internet.md,60
Decentralised Web.md,116
Deep Learning.md,0
Deepfakes and fraudulent content.md,6
Deepmind.md,0
Definitions and frameworks for Metaverse.md,41
Depth Estimation.md,4
Diagrams as Code.md,21
Diffusion Models.md,0
Digital Asset Risks.md,43
Digital Objects.md,126
Distributed Identity.md,54
ecash.md,0
Education.md,2
Ethereum.md,27
EU AI Act.md,2
Evaluation and leaderboards.md,10
Facebook Meta.md,0
flossverse.md,2
GANs.md,0
Gaussian splatting and Similar.md,14
Gemini.md,6
Geopolitical hot takes.md,0
Global Inequality.md,11
Gold.md,2
Hardware and Edge.md,55
Human tracking and SLAM capture.md,7
Human vs AI.md,3
"Humans, Avatars , Character.md",26
Hyper personalisation.md,1
infrastructure.md,4
Inpainting.md,0
Introduction to me.md,5
IPAdapter.md,13
Jailbreaking.md,3
Knowhere.md,1
Knowledge Graphing.md,1
Landscape.md,2
Large language models.md,184
latent space.md,0
Layoff tracker and threatened roles.md,6
Lead Poisoning Hypothesis.md,1
Leopold Aschenbrenner.md,1
license.md,4
Lightning and Similar L2.md,27
Llama.md,4
Machine Learning.md,2
Medical AI.md,10
Metaverse and Spatial Risks.md,2
Metaverse as Markets.md,6
Metaverse Ontology.md,8
Microsoft CoPilot.md,6
Microsoft Work Trends Impact 2024.md,0
Mixed reality.md,84
Model Optimisation and Performance.md,17
Money.md,76
Multi Agent RAG scrapbook.md,0
multimodal.md,11
Music and audio.md,26
National Industrial Centre for Virtual Environments.md,4
Non transformer approaches.md,6
Norbert Wiener.md,0
nostr.md,28
NVIDIA Omniverse.md,1
Octave Multi Model Laboratory.md,1
Open Generative AI tools.md,4
OpenAI.md,0
Overview of Machine Learning Techniques.md,17
p(doom).md,0
Parametric.md,1
"Politics, Law, Privacy.md",46
Product and Risk Management.md,1
Product Design.md,6
Prompt Engineering.md,25
Proprietary AI Video.md,4
Proprietary Image Generation.md,4
Proprietary Large Language Models.md,7
Proprietary Video VP & 3D.md,17
qlora.md,0
RAG.md,13
Recent Projects.md,11
Research Tools.md,8
Revision List.md,1
RGB.md,25
Robin Hanson.md,1
Robotics.md,6
Safety and alignment.md,10
Sam Hammond.md,0
Scene Capture and Reconstruction.md,84
Segmentation and Identification.md,17
Semantic Web.md,10
Singularity.md,1
SLAM.md,1
Social contract and jobs.md,42
Soon-Next-Later (AI futurology).md,5
Spatial Computing.md,0
Speech and voice.md,41
Stable Coins.md,30
Stable Diffusion.md,226
State of the art in AI.md,13
Suggested Reading Order.md,2
Surveillance.md,11
Text to 3D and 4D.md,45
Tim Reutermann.md,2
Time Series Forecasting.md,5
Tokenization.md,1
Training and fine tuning.md,0
Transformers.md,5
Trust and Safety.md,5
Tuesday 11th of June FRAME reporting.md,0
Upscaling.md,6
Vesuvian Scrolls.md,3
Virtual Production.md,7
Vision Pro.md,2
Visionflow.md,0
