source,target,weight
Automated Podcast Project,Agents,1
Base models,Apple,2
Base models,Artificial Intelligence,3
Bitcoin Value Proposition,Agents,1
Bitcoin,BTC Layer 3,1
Bitcoin,Bitcoin Technical Overview,1
Blockchain,Agentic Metaverse for Global Creatives,1
Blockchain,Agentic Mycelia,1
Blockchain,Agents,2
Blockchain,Artificial Intelligence,1
Blockchain,Bitcoin As Money,1
Blockchain,Bitcoin Technical Overview,1
Blockchain,Bitcoin Value Proposition,2
Blockchain,Bitcoin,14.1
Calculating Empires,Artificial Intelligence,1
Cashu,Bitcoin,3
ChatGPT,Blender,3.2
Coding support,ChatGPT,4
Comfy UI for Fashion and Brands,Apple,0.2
ComfyUI,AnimateDiff,1
ComfyUI,Apple,2
ComfyUI,Artificial Intelligence,1
ComfyUI,ChatGPT,3
Comparison of GPT4 and Gemini Ultra,ChatGPT,13
Competition in AI,AI Companies,1
Competition in AI,Apple,2
Competition in AI,ChatGPT,2
Conspiracies,AI Companies,1
Conspiracies,Agents,2
Conspiracies,Artificial Intelligence,1
Conspiracies,Bitcoin,7.2
Conspiracies,California AI bill,0.1
Convergence,Agents,2
Convergence,Artificial Intelligence,1
Convergence,Bitcoin,3
Convergence,Blockchain,3
Courses and Training,Artificial Intelligence,1.1
Courses and Training,ChatGPT,1.1
Death of the Internet,Agents,4
Death of the Internet,Artificial Intelligence,1
Death of the Internet,Blockchain,0.1
Death of the Internet,ChatGPT,1
Decentralised Web,Agents,2
Decentralised Web,Apple,1.1
Decentralised Web,Bitcoin,20.4
Decentralised Web,Blockchain,6.3
Deepfakes and fraudulent content,Agents,1
Definitions and frameworks for Metaverse,Agents,3
Definitions and frameworks for Metaverse,Apple,6.1
Definitions and frameworks for Metaverse,Bitcoin,2
Definitions and frameworks for Metaverse,Blockchain,1
Definitions and frameworks for Metaverse,Convergence,2
Diagrams as Code,Agents,11
Diagrams as Code,Bitcoin,6
Diagrams as Code,Blockchain,4
Diagrams as Code,Cashu,1
Digital Asset Risks,Bitcoin ETF,1
Digital Asset Risks,Bitcoin,67.5
